id,title,author_names,release_year,pages,rating,ratings_count,genres,description,image_url,added_date
381936,The Goldfinch,Donna Tartt,1993.0,1006.0,3.931111111111111,675.0,"Fiction, Mystery, Classics, Spanish, Artists, 1735854438298, Friendship","""The Goldfinch is a rarity that comes along perhaps half a dozen times per decade, a smartly written literary novel that connects with the heart as well as the mind....Donna Tartt has delivered an extraordinary work of fiction.""--Stephen King, The New York Times Book Review

Composed with the skills of a master, The Goldfinch is a haunted odyssey through present day America and a drama of enthralling force and acuity.

It begins with a boy. Theo Decker, a thirteen-year-old New Yorker, miraculously survives an accident that kills his mother. Abandoned by his father, Theo is taken in by the family of a wealthy friend. Bewildered by his strange new home on Park Avenue, disturbed by schoolmates who don't know how to talk to him, and tormented above all by his unbearable longing for his mother, he clings to one thing that reminds him of her: a small, mysteriously captivating painting that ultimately draws Theo into the underworld of art. 

As an adult, Theo moves silkily between the drawing rooms of the rich and the dusty labyrinth of an antiques store where he works. He is alienated and in love-and at the center of a narrowing, ever more dangerous circle. 

The Goldfinch is a novel of shocking narrative energy and power. It combines unforgettably vivid characters, mesmerizing language, and breathtaking suspense, while plumbing with a philosopher's calm the deepest mysteries of love, identity, and art. It is a beautiful, stay-up-all-night and tell-all-your-friends triumph, an old-fashioned story of loss and obsession, survival and self-invention, and the ruthless machinations of fate.",https://assets.hardcover.app/editions/30399797/9607564183148250.jpg,2025-10-20 20:56:24
1084101,You Like It Darker,Stephen King,2024.0,512.0,4.0625,120.0,"Horror, Fiction, Science fiction, Fantasy, Short stories, Short Story Collection, speculative fiction","From legendary storyteller and master of short fiction Stephen King comes an extraordinary new collection of twelve short stories, many never-before-published, and some of his best EVER.

âYou like it darker? Fine, so do I,â writes Stephen King in the afterword to this magnificent new collection of twelve stories that delve into the darker part of lifeâboth metaphorical and literal. King has, for half a century, been a master of the form, and these stories, about fate, mortality, luck, and the folds in reality where anything can happen, are as rich and riveting as his novels, both weighty in theme and a huge pleasure to read. King writes to feel âthe exhilaration of leaving ordinary day-to-day life behind,â and in You Like It Darker, readers will feel that exhilaration too, again and again.

âTwo Talented Bastidsâ explores the long-hidden secret of how the eponymous gentlemen got their skills. In âDanny Coughlinâs Bad Dream,â a brief and unprecedented psychic flash upends dozens of lives, Dannyâs most catastrophically. In âRattlesnakes,â a sequel to Cujo, a grieving widower travels to Florida for respite and instead receives an unexpected inheritanceâwith major strings attached. In âThe Dreamers,â a taciturn Vietnam vet answers a job ad and learns that there are some corners of the universe best left unexplored. âThe Answer Manâ asks if prescience is good luck or bad and reminds us that a life marked by unbearable tragedy can still be meaningful.

Kingâs ability to surprise, amaze, and bring us both terror and solace remains unsurpassed. Each of these stories holds its own thrills, joys, and mysteries; each feels iconic. You like it darker? You got it.",https://assets.hardcover.app/editions/31108137/3100829816858193.jpg,2025-10-20 21:03:14
20640,End of Watch,Stephen King,2016.0,354.0,3.774647887323944,284.0,"Thriller, Fiction, Science fiction, Mystery, Suspense, Murder, Genre Fiction, Literary Fiction, Thriller & Suspense, Fantasy","A suspenseful closing volume. Brady Hartsfield, the Mercedes killer, returns to diabolically drive his victims to suicide in this last installment, starring the ever more winning Bill Hodges and Holly Gibney.",https://assets.hardcover.app/external_data/61552597/5cdd68de5ab8b9b4e9d02198e64094dc723e51d2.jpeg,2025-10-20 21:07:13
1908591,The Intruder,Freida McFadden,2025.0,,0.0,0.0,Fiction,"There's someone at your front door - should you let them in? Find out in a riveting new thriller from global sensation and #1 New York Times bestselling author of The Housemaid, Freida McFadden! Who knows what the storm will blow in... Casey's cabin in the wilderness is not built for a hurricane. Her roof shakes, the lights flicker, and the tree outside her front door sways ominously in the wind. But she's a lot more worried about the girl she discovers lurking outside her kitchen window. She's young. She's alone. And she's covered in blood. The girl won't explain where she came from, or loosen her grip on the knife in her right hand. And when Casey makes a disturbing discovery in the middle of the night, things take a turn for the worse. The girl has a dark secret. One she'll kill to keep. And if Casey gets too close to the truth, she may not live to see the morning. In this taut, deadly tale of survival and desperation, #1 New York Times bestselling author Freida McFadden explores how far one girl will go to save herself.",https://assets.hardcover.app/external_data/1399891/b2866f4f6be7bf7fc5e6af7a3ffd8936f601ac94.jpeg,2025-10-20 21:09:54
384937,Dance Dance Dance,Haruki Murakami,1988.0,402.0,3.984375,160.0,"Classics, Fantasy, Fiction, History, Identity (Psychology)","He burst upon the international scene with the wildly acclaimed *A Wild Sheep Chase*. He quickly came to represent the quirky voice of a new generation of Japanese writers. Now Haruki Murakami gives us his wittiest, boldest, most daring work to date. *Dance dance dance* continues the extraordinary adventure of an ordinary man. At thirty something, Murakami's nameless hero lives in a hi-tech, high-rise world where old virtues die fast and success is all that matters. He has shared in the glittering city's spoils, and while he has not sold his soul, he knows that something is lacking in his life. Now, in dreams, a mysterious woman weeps softly - for him. Yet, even as he tries to understand why, the voice that beckons is not hers. And still he dreams. Bizarre dreams that propel him down byways of his life in search of ... ? His is a strange odyssey: en route, a thirteen-year-old girl, distressingly beautiful and clairvoyant, is his constant companion; a classmate, now oozing charm on TV soaps, grapples with murder; a lady of the night becomes his guardian angel; and an eccentric Sheep Man materializes to counsel and cajole. What's a fellow to do? Dance. You gotta dance as long as the music plays. And dance is what our hero does ... in the most unexpected ways!",https://assets.hardcover.app/edition/10875306/71d88f3181b6d5846616ceb202909431fcc71824.jpeg,2025-10-21 20:41:44
432528,Killing Commendatore,"Haruki Murakami, Philip Gabriel, Ted Goossen",2017.0,738.0,3.792792792792793,111.0,"Fantasy, Fiction, History","A thirty-something portrait painter in Tokyo is abandoned by his wife and finds himself holed up in the mountain home of a famous artist, Tomohiko Amada. When he discovers a previously unseen painting in the attic, he unintentionally opens a circle of mysterious circumstances. To close it, he must complete a journey that involves a mysterious ringing bell, a two-foot-high physical manifestation of an Idea, a dapper businessman who lives across the valley, a precocious thirteen-year-old girl, a Nazi assassination attempt during World War II in Vienna, a pit in the woods behind the artist's home, and an underworld haunted by Double Metaphors. A tour de force of love and loneliness, war and art.",https://assets.hardcover.app/editions/27165623/9717419202776382.jpg,2025-10-21 20:41:44
583563,1Q84: Buch 1 und Buch 2,Haruki Murakami,2010.0,708.0,0.0,0.0,"Fiction, Fantasy, Science fiction, Dystopian, Classics, Adventure","1984. Aomame hat zwei verschieden groÃe Ohren. Beim Rendezvous mit einem reichen ÃlhÃ¤ndler zÃ¼ckt sie eine Nadel und ersticht ihn â ein Auftragsmord, um altes Unrecht zu sÃ¼hnen. Tengo ist Hobby-Schriftsteller. Er soll einen Roman der exzentrischen 17-jÃ¤hrigen Fukaeri Ã¼berarbeiten, damit sie einen Literaturpreis bekommt. Der Text ist Ã¤uÃerst originell, aber schlecht geschrieben â ein riskanter Auftrag. Aomame wundert sich, warum die Nachrichten ihren Mord nicht melden. Ist sie in eine Parallelwelt geraten? Um diese SphÃ¤re vom gewÃ¶hnlichen Leben im Jahr 1984 zu unterscheiden, gibt Aomame der neuen, unheimlichen Welt den Namen 1Q84.",https://assets.hardcover.app/edition/30548837/639792769ab43a7de798503224a6beeaf0f7b70b.jpeg,2025-10-21 20:44:56
383801,Stephen King Goes to the Movies,Stephen King,2009.0,626.0,4.0,2.0,"Fantasy, Fiction, Biography","Contains:

 - [1408](https://openlibrary.org/works/OL19779432W)
 - The Mangler
 - Low Men in Yellow Coats
 - [Rita Hayworth and Shawshank Redemption](https://openlibrary.org/works/OL14917488W/Rita_Hayworth_and_Shawshank_Redemption)
 - [Children of the Corn](https://openlibrary.org/works/OL19791056W/Children_of_the_Corn)",https://assets.hardcover.app/edition/11167904/8303109-L.jpg,2025-10-21 21:24:30
1594485,The End of the World As We Know It: New Tales of Stephen King's The Stand,"Christopher Golden, Brian Keene, Stephen King",2025.0,779.0,3.666666666666667,3.0,"Fantasy, Fiction, Science fiction, Dystopian","An original short story anthology based on master storyteller Stephen Kingâs #1 New York Times bestselling classic The Stand! Since its initial publication in 1978, The Stand has been considered Stephen Kingâs seminal masterpiece of apocalyptic fiction, with millions of copies sold and adapted twice for television. Although there are other extraordinary works exploring the unraveling of human society, none have been as influential as this iconic novelâgenerations of writers have been impacted by its dark yet ultimately hopeful vision of the end and new beginning of civilization, and its stunning array of characters. Now for the first time, Stephen King has fully authorized a return to the harrowing world of The Stand through this original short story anthology as presented by award-winning authors and editors Christopher Golden and Brian Keene. Bringing together some of todayâs greatest and most visionary writers, The End of the World As We Know It features unforgettable, all-new stories set during and after (and some perhaps long after) the events of The Standâbrilliant, terrifying, and painfully human tales that will resonate with readers everywhere as an essential companion to the classic, bestselling novel. Featuring an introduction by Stephen King, a foreword by Christopher Golden, and an afterword by Brian Keene. Contributors include Wayne Brady and Maurice Broaddus, Poppy Z. Brite, Somer Canon, C. Robert Cargill, Nat Cassidy, V. Castro, Richard Chizmar, S. A. Cosby, Tananarive Due and Steven Barnes, Meg Gardiner, Gabino Iglesias, Jonathan Janz, Alma Katsu, Caroline Kepnes, Michael Koryta, Sarah Langan, Joe R. Lansdale, Tim Lebbon, Josh Malerman, Ronald Malfi, Usman T. Malik, Premee Mohamed, Cynthia Pelayo, Hailey Piper, David J. Schow, Alex Segura, Bryan Smith, Paul Tremblay, Catherynne M. Valente, Bev Vincent, Catriona Ward, Chuck Wendig, Wrath James White, and Rio Youers.",https://assets.hardcover.app/external_data/1243374/78e4d47d3814ee7446fa21ec9f88ef616484a09b.jpeg,2025-10-21 21:24:30
446730,The Dungeon Anarchist's Cookbook,Matt Dinniman,2021.0,532.0,4.310240963855422,498.0,"Fantasy, Dystopian, Science fiction, Adventure, Aliens, litrpg, Lit RPG, Humor","The top ten list is populated. The sponsorship program is open. The difficulty is ramping up. The first three floors were nothing compared to what Carl and Donut now face.

The Iron Tangle. An impossibly-complicated subway system built out of the world's subterranean railway systems, all combined and then tied together into a knot. Up is down. Down is up. Close is far. The cars are filled with monsters, the railway stations are less than safe, and the exit is always just a few stops away.

But there is hope. For the first time, the crawlers are all working together. The loot is better than ever. And the secret to unraveling it all may be hidden in the pages of a seemingly-useless book. Welcome, crawlers. Welcome to the fourth floor of the dungeon.",https://assets.hardcover.app/edition/30407849/4b70ed0d-fb89-4d2c-9e33-23def79d50a4.jpg,2025-10-22 21:03:03
